
"Rob Pike
","1993
","Plan 9 and Inferno
","
","C
","Free
","LPL (OSI approved)
","Yes
","
","
"
"Alexey Kuznetsov, Alexander Shengalts
","2003
","4.9.8
","2016-07-18
","C
","Free
","BSD
","Yes
","
","
"
"Vince Darley
","1999
","8.3.3
","2004-12-10
","
","$40
","Proprietary, with BSD components
","No
","
","
"
"David Reitter
","2005
","3.3
","2016-09-20
","C, Emacs Lisp
","Free
","GPL
","Yes
","
","
"
"GitHub
","2014
","1.38.2
","2019-06-17
","HTML, CSS, JavaScript, C++
","Free
","MIT
","Yes
","No
","~ 150 MB
"
"Rich Siegel
","1992
","12.1.3
","2018-04-11
","Objective-C, Objective-C++
","$49.99
","Proprietary
","No
","
","
"
"Bluefish Development Team
","1999
","2.2.10
","2017-01-27
","C
","Free
","GPL
","Yes
","
","
"
"Adobe Systems
","2012
","1.12
","2018-02-05
","HTML, CSS, JavaScript, C++
","Free
","MIT
","Yes
","
","
"
"Panic
","2007
","2.6.6
","2017-06-05
","Objective-C
","$99
","Proprietary
","No
","
","
"
"ConTEXT Project Ltd
","1999
","0.98.6
","2009-08-14
","Object Pascal (Delphi)
","Free
","BSD
","Yes
","
","
"
"Ingyu Kang, Emerald Editor Team
","1999
","3.72
","2008-05-14
","C++
","Free
","GPL
","Yes
","
","
"
"UVViewSoft (alexey_t, kvichans, matthias030)
","2015
","1.57.0
","2018-06-25
","Object Pascal (Lazarus)
","Free
","MPL 2.0
","Yes
","
","8 MB Mac
12 MB Win
5 Mb *nix

"
"Alexander Stigsen
","2005
","2.0.2
","2010-11-30
","
","$46.95
","Proprietary, with BSD components
","No
","
","
"
"Ken Thompson
","1970
","unchanged from original
","
","C
","Free
","?
","Yes
","Yes
","0.04 MB
"
"Sangil Kim
","1998
","5.0
","2018-03-26
","C++
","$35
","Shareware
","No
","
","
"
"Cody Precord
","2007
","0.7.20
","2013-01-05
","Python
","Free
","wxWindows license
","Yes
","
","
"
"Emurasoft, Inc.
","1997
","18.64
","2019-02-08
","C++
","149.99
","Shareware
","No
","
","
"
"Lugaru Software
","1984
","13.06
","2016-12-06
","C
","$250
","Proprietary
","No
","
","
"
"GNU Project
","2000
","3.28.2 (Win 3.20.1, Mac 3.2.6[1])
","2018-05-09
","C
","Free
","GPL
","Yes
","
","
"
"Enrico Tröger
","2005
","1.33
","2018-02-25
","C, GTK2
","Free
","GPL
","Yes
","
","
"
"Richard Stallman
","1984
","26.1
","2018-05-28
","C, Emacs Lisp
","Free
","GPL
","Yes
","Yes
","11.6 MB
"
